2994,plankskinn,Amyloathelia crassiuscula,svamp,Art,4,Skog (S) - Stor betydelse,LC,,,Sapro;;
257606,,Amylocarpus encephaloides,svamp,Art,0,,NE,,,Sapro;;
4500,skuggskinn,Amylocorticiellum cremeoisabellinum,svamp,Art,2,Skog (S) - Stor betydelse,DD,,,Sapro;;
4501,timmerskinn,Amylocorticiellum molle,svamp,Art,17,Skog (S) - Stor betydelse,LC,,,Sapro;;
4502,rotskinn,Amylocorticiellum subillaqueatum,svamp,Art,1,Skog (S) - Stor betydelse,LC,,,Sapro;;
2995,jodskinn,Amylocorticium cebennense,svamp,Art,44,Skog (S) - Stor betydelse,LC,,,Sapro;;
2996,skaftjodskinn,Amylocorticium pedunculatum,svamp,Art,2,Skog (S) - Stor betydelse,DD,,,Sapro;;
46,rosa jodskinn,Amylocorticium subincarnatum,svamp,Art,20,Skog (S) - Stor betydelse,EN,D,,Sapro;;
47,gult jodskinn,Amylocorticium subsulphureum,svamp,Art,6,Skog (S) - Stor betydelse,DD,,,Sapro;;
48,lappticka,Amylocystis lapponica,svamp,Art,3544,Skog (S) - Stor betydelse,VU,A2c+3c+4c,,Sapro;;
3008,timmerticka,Amyloporia sinuosa,svamp,Art,2974,Skog (S) - Stor betydelse,,,,Sapro;;
3011,citronticka,Amyloporia xantha,svamp,Art,2496,Skog (S) - Stor betydelse,LC,,,Sapro;;
253687,,Amylostereum areolatum,svamp,Art,0,Skog (S) - Stor betydelse,LC,,,Sapro;;
2997,hårdskinn,Amylostereum chailletii,svamp,Art,149,Skog (S) - Stor betydelse,LC,,,Sapro;;
2998,enskinn,Amylostereum laevigatum,svamp,Art,430,Skog (S) - Stor betydelse,,,,Sapro;;
253794,bågsporigt lackskinn,Amyloxenasma allantospora,svamp,Art,1,Skog (S) - Stor betydelse,LC,,,Sapro;;
253795,grått lackskinn,Amyloxenasma grisella,svamp,Art,7,Skog (S) - Stor betydelse,LC,,,Sapro;;
1220,olivlackskinn,Amyloxenasma lloydii,svamp,Art,4,Skog (S) - Stor betydelse,NE,,,Sapro;;
233053,valknästing,Anisogramma virgultorum,svamp,Art,0,Skog (S) - Stor betydelse,LC,,,Sapro;;
257622,,Annulusmagnus triseptatus,svamp,Art,4,,NE,,,Sapro;;
57,gul mjukporing,Anomoloma albolutescens,svamp,Art,6,Skog (S) - Stor betydelse,CR,D,,Sapro;;
233023,,Anomoloma flavissimum,svamp,Art,0,Skog (S) - Stor betydelse,NA,,,Sapro;;
59,fransporing,Anomoloma myceliosum,svamp,Art,53,Skog (S) - Stor betydelse,VU,C1; D1,,Sapro;
58,isabellporing,Anomoporia bombycina,svamp,Art,63,Skog (S) - Stor betydelse,EN,C1,,Sapro;;
